Area Code,Ddate,Market,Market Size,Product,Product Type,State,Type,Budget Cogs,Budget Margin,Budget Profit,Budget Sales,Coffee Sales,Cogs,Inventory,Margin,Marketing,Number of Records,Number Of Records,Profit,Total Expenses
970,1/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,140,110,240,234,95,821,139,26,1,1,101,38
719,2/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,140,110,240,232,95,809,137,26,1,1,99,38
720,3/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,140,110,240,234,95,799,139,26,1,1,101,38
303,4/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,150,120,250,245,100,822,145,28,1,1,105,40
720,5/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,110,150,120,260,256,104,871,152,29,1,1,112,40
719,6/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,130,180,140,310,301,123,947,178,34,1,1,132,46
970,7/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,130,190,150,320,312,127,"1,007",185,35,1,1,139,46
719,8/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,130,200,160,330,323,132,994,191,36,1,1,144,47
970,9/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,150,120,250,245,100,981,145,28,1,1,106,39
719,10/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,160,150,260,265,108,971,157,30,1,1,116,41
970,11/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,80,110,80,190,198,81,984,117,22,1,1,84,33
720,12/1/12,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,80,120,90,200,210,86,"1,003",124,24,1,1,88,36
719,1/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,140,110,240,262,95,821,139,26,1,1,157,40
303,2/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,140,110,240,247,95,809,137,26,1,1,147,38
303,3/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,140,110,240,249,95,799,139,26,1,1,150,38
303,4/1/13,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,150,120,250,261,100,822,145,28,1,1,156,40
